ITTER107,Territory,TIPO_DATO_VIOLENZA,Data type,TIPOAUT,Perpetrator,TIPOVIOLENZA,Type of violence,TITOLO_STUDIO,Educational level,TIME,Select time,Value,Flag Codes,Flags
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),PHSEX,physical or sexual,ALL,total,2014,2014,31.5,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),PHY,physical violence,ALL,total,2014,2014,20.2,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),SEXVIOL,sexual violence,ALL,total,2014,2014,21,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),RAPE_OR_ATT, rape or attempted rape,ALL,total,2014,2014,5.4,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),NOP,man non-partner,PHSEX,physical or sexual,ALL,total,2014,2014,24.7,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),NOP,man non-partner,PHY,physical violence,ALL,total,2014,2014,12.4,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),NOP,man non-partner,SEXVIOL,sexual violence,ALL,total,2014,2014,17.5,,
IT,Italy,W16_70_PNP_LT,women aged 16-70 years who have suffered violence lifetime (% of women 16-70 years),NOP,man non-partner,RAPE_OR_ATT, rape or attempted rape,ALL,total,2014,2014,3.4,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),PHSEX,physical or sexual,ALL,total,2014,2014,11.3,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),PHY,physical violence,ALL,total,2014,2014,7,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),SEXVIOL,sexual violence,ALL,total,2014,2014,6.3,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),RAPE_OR_ATT, rape or attempted rape,ALL,total,2014,2014,1.2,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),NOP,man non-partner,PHSEX,physical or sexual,ALL,total,2014,2014,7.7,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),NOP,man non-partner,PHY,physical violence,ALL,total,2014,2014,3.8,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),NOP,man non-partner,SEXVIOL,sexual violence,ALL,total,2014,2014,4.8,,
IT,Italy,W16_70_PNP_Y5,women aged 16-70 years who have suffered violence in the past 5 years (% of women 16-70 years),NOP,man non-partner,RAPE_OR_ATT, rape or attempted rape,ALL,total,2014,2014,0.6,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),PHSEX,physical or sexual,ALL,total,2014,2014,4.5,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),PHY,physical violence,ALL,total,2014,2014,2.7,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),SEXVIOL,sexual violence,ALL,total,2014,2014,2.2,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),ANY_P_NOP,any man (partner and non-partner),RAPE_OR_ATT, rape or attempted rape,ALL,total,2014,2014,0.3,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),NOP,man non-partner,PHSEX,physical or sexual,ALL,total,2014,2014,2.8,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),NOP,man non-partner,PHY,physical violence,ALL,total,2014,2014,1.3,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),NOP,man non-partner,SEXVIOL,sexual violence,ALL,total,2014,2014,1.6,,
IT,Italy,W16_70_PNP_M12,women aged 16-70 years who have suffered violence in the past 12 months (% of women 16-70 years),NOP,man non-partner,RAPE_OR_ATT, rape or attempted rape,ALL,total,2014,2014,0.2,,
IT,Italy,W16_70_CFP_LT,women aged 16-70 years who have suffered violence lifetime (% of ever-partnered women 16-70 years),CURR_OR_FORM,current partner or former partner,PHSEX,physical or sexual,ALL,total,2014,2014,13.6,,
